              Lexeme	               LineNo	            TokenName	        ValuelfNumber	          parentNodeSymbol	           IsLeafNode	                NodeSymbol
                ----	                -----	                -----	                -----	                      ROOT	             Not Leaf	                   program
                ----	                -----	                -----	                -----	                   program	             Not Leaf	        moduleDeclarations
                ----	                -----	                -----	                -----	                   program	             Not Leaf	              otherModules
                ----	                -----	                -----	                -----	                   program	             Not Leaf	              driverModule
                ----	                -----	                -----	                -----	                   program	             Not Leaf	              otherModules
                    	                    0	                    e	                -----	        moduleDeclarations	              Is Leaf	                     -----
                    	                    0	                    e	                -----	              otherModules	              Is Leaf	                     -----
                 <<<	                    2	            DRIVERDEF	                -----	              driverModule	              Is Leaf	                     -----
              driver	                    2	               DRIVER	                -----	              driverModule	              Is Leaf	                     -----
             program	                    2	              PROGRAM	                -----	              driverModule	              Is Leaf	                     -----
                 >>>	                    2	         DRIVERENDDEF	                -----	              driverModule	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	              driverModule	             Not Leaf	                 moduleDef
                ----	                -----	                -----	                -----	              otherModules	             Not Leaf	                    module
                ----	                -----	                -----	                -----	              otherModules	             Not Leaf	              otherModules
               start	                    3	                START	                -----	                 moduleDef	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 moduleDef	             Not Leaf	                statements
                 end	                    9	                  END	                -----	                 moduleDef	              Is Leaf	                     -----
                  <<	                   11	                  DEF	                -----	                    module	              Is Leaf	                     -----
              module	                   11	               MODULE	                -----	                    module	              Is Leaf	                     -----
              square	                   11	                   ID	                -----	                    module	              Is Leaf	                     -----
                  >>	                   11	               ENDDEF	                -----	                    module	              Is Leaf	                     -----
               takes	                   12	                TAKES	                -----	                    module	              Is Leaf	                     -----
               input	                   12	                INPUT	                -----	                    module	              Is Leaf	                     -----
                   [	                   12	                 SQBO	                -----	                    module	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    module	             Not Leaf	               input_plist
                   ]	                   12	                 SQBC	                -----	                    module	              Is Leaf	                     -----
                   ;	                   12	              SEMICOL	                -----	                    module	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    module	             Not Leaf	                       ret
                ----	                -----	                -----	                -----	                    module	             Not Leaf	                 moduleDef
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
                   x	                   12	                   ID	                -----	               input_plist	              Is Leaf	                     -----
                   :	                   12	                COLON	                -----	               input_plist	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               input_plist	             Not Leaf	                  dataType
                ----	                -----	                -----	                -----	               input_plist	             Not Leaf	          input_plist_dash
             returns	                   13	              RETURNS	                -----	                       ret	              Is Leaf	                     -----
                   [	                   13	                 SQBO	                -----	                       ret	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                       ret	             Not Leaf	              output_plist
                   ]	                   13	                 SQBC	                -----	                       ret	              Is Leaf	                     -----
                   ;	                   13	              SEMICOL	                -----	                       ret	              Is Leaf	                     -----
               start	                   14	                START	                -----	                 moduleDef	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 moduleDef	             Not Leaf	                statements
                 end	                   16	                  END	                -----	                 moduleDef	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 statement	             Not Leaf	               declareStmt
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                 statement
                ----	                -----	                -----	                -----	                statements	             Not Leaf	                statements
             integer	                   12	              INTEGER	                -----	                  dataType	              Is Leaf	                     -----
                    	                    0	                    e	                -----	          input_plist_dash	              Is Leaf	                     -----
               value	                   13	                   ID	                -----	              output_plist	              Is Leaf	                     -----
